"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"10/07/2019","5.022,0","5.023,0","5.038,0","4.970,0","1,75M","-0,32%"
"09/07/2019","5.038,0","5.057,0","5.069,0","5.020,0","2,13M","-0,45%"
"08/07/2019","5.061,0","5.062,0","5.084,0","5.040,0","1,18M","0,32%"
"05/07/2019","5.045,0","5.054,0","5.075,0","5.022,0","1,35M","-0,34%"
"04/07/2019","5.062,0","5.079,0","5.091,9","5.031,0","1,18M","-0,41%"
"03/07/2019","5.083,0","5.039,0","5.100,0","5.027,0","1,76M","1,34%"
"02/07/2019","5.016,0","4.907,5","5.016,0","4.894,0","2,59M","2,19%"
"01/07/2019","4.908,5","4.946,0","4.946,0","4.895,5","1,44M","0,29%"
"28/06/2019","4.894,5","4.884,5","4.894,5","4.857,0","1,93M","0,66%"
"27/06/2019","4.862,5","4.887,5","4.887,5","4.816,7","1,75M","-0,59%"
"26/06/2019","4.891,5","4.922,5","4.947,0","4.886,0","1,67M","-0,90%"
"25/06/2019","4.936,0","4.927,0","4.958,5","4.903,5","1,25M","-0,31%"
"24/06/2019","4.951,5","4.899,5","4.959,0","4.885,0","1,54M","0,88%"
"21/06/2019","4.908,5","4.899,0","4.917,5","4.865,5","4,73M","-0,09%"
"20/06/2019","4.913,0","4.943,0","4.969,5","4.910,5","1,95M","-0,28%"
"19/06/2019","4.927,0","4.993,5","4.993,5","4.917,5","1,94M","-1,13%"
"18/06/2019","4.983,5","4.977,0","5.038,0","4.955,0","2,00M","0,33%"
"17/06/2019","4.967,0","4.969,0","4.987,5","4.950,2","1,43M","-0,13%"
"14/06/2019","4.973,5","4.936,5","4.976,5","4.924,5","1,41M","0,54%"
"13/06/2019","4.947,0","4.964,0","4.988,0","4.933,5","2,24M","-0,51%"
"12/06/2019","4.972,5","4.920,0","4.983,0","4.891,0","1,64M","1,11%"
"11/06/2019","4.918,0","4.906,0","4.932,0","4.883,0","2,44M","0,39%"
"10/06/2019","4.899,0","4.923,5","4.923,5","4.882,5","1,13M","-0,31%"
"07/06/2019","4.914,0","4.875,5","4.918,5","4.875,5","1,76M","0,70%"
"06/06/2019","4.880,0","4.867,0","4.891,5","4.847,5","1,66M","0,45%"
"05/06/2019","4.858,0","4.822,0","4.863,0","4.801,5","1,80M","0,90%"
"04/06/2019","4.814,5","4.857,0","4.858,0","4.803,0","1,93M","-0,83%"
"03/06/2019","4.855,0","4.821,0","4.863,0","4.804,5","1,78M","0,37%"
"31/05/2019","4.837,0","4.860,0","4.870,0","4.825,5","1,34M","-1,02%"
"30/05/2019","4.887,0","4.839,5","4.891,0","4.812,0","1,55M","0,97%"
"29/05/2019","4.840,0","4.833,0","4.840,0","4.787,5","1,65M","-0,40%"
"28/05/2019","4.859,5","4.900,0","4.908,2","4.836,4","2,77M","-0,49%"
"24/05/2019","4.883,5","4.857,0","4.900,0","4.834,0","1,78M","0,92%"
"23/05/2019","4.839,0","4.860,5","4.873,5","4.805,5","1,81M","-0,37%"
"22/05/2019","4.857,0","4.764,5","4.857,5","4.761,5","2,25M","2,23%"
"21/05/2019","4.751,0","4.800,5","4.813,5","4.740,5","1,24M","-0,76%"
"20/05/2019","4.787,5","4.800,0","4.808,5","4.742,5","1,39M","-0,19%"
"17/05/2019","4.796,5","4.755,5","4.797,5","4.755,5","1,20M","0,45%"
"16/05/2019","4.775,0","4.693,0","4.775,0","4.670,0","1,87M","1,81%"
"15/05/2019","4.690,0","4.639,5","4.690,5","4.627,5","1,32M","1,07%"
"14/05/2019","4.640,5","4.667,5","4.667,5","4.614,0","1,87M","-0,19%"
"13/05/2019","4.649,5","4.640,5","4.662,0","4.601,5","1,64M","0,87%"
"10/05/2019","4.609,5","4.620,5","4.641,0","4.596,0","1,62M","-0,03%"
"09/05/2019","4.611,0","4.616,5","4.653,0","4.602,0","1,50M","-0,39%"
"08/05/2019","4.629,0","4.601,5","4.647,0","4.585,0","3,50M","0,78%"
"07/05/2019","4.593,0","4.592,5","4.637,0","4.583,5","2,54M","-0,22%"
"03/05/2019","4.603,0","4.635,0","4.659,2","4.591,0","1,30M","0,29%"
"02/05/2019","4.589,5","4.550,0","4.611,0","4.540,0","1,94M","-0,87%"
"01/05/2019","4.630,0","4.695,0","4.699,5","4.630,0","1,78M","-0,59%"
"30/04/2019","4.657,5","4.613,5","4.657,5","4.597,0","2,24M","1,03%"
"29/04/2019","4.610,0","4.587,0","4.621,0","4.546,0","1,40M","0,50%"
"26/04/2019","4.587,0","4.554,0","4.587,0","4.531,5","2,34M","0,75%"
"25/04/2019","4.553,0","4.539,0","4.557,5","4.517,5","1,74M","0,44%"
"24/04/2019","4.533,0","4.545,5","4.545,5","4.500,5","1,70M","0,12%"
"23/04/2019","4.527,5","4.468,0","4.536,9","4.464,5","2,43M","0,53%"
"18/04/2019","4.503,5","4.412,0","4.550,8","4.410,0","3,07M","2,87%"
"17/04/2019","4.378,0","4.380,5","4.381,5","4.314,0","2,21M","0,14%"
"16/04/2019","4.372,0","4.369,5","4.374,0","4.347,0","1,62M","0,60%"
"15/04/2019","4.346,0","4.356,0","4.371,5","4.335,0","1,24M","-0,41%"
"12/04/2019","4.364,0","4.398,0","4.420,2","4.322,5","1,67M","-0,66%"
"11/04/2019","4.393,0","4.382,5","4.422,5","4.377,0","1,07M","-0,02%"
"10/04/2019","4.394,0","4.375,5","4.405,0","4.366,0","1,48M","-0,55%"
"09/04/2019","4.418,5","4.400,0","4.420,0","4.370,5","1,47M","0,12%"
"08/04/2019","4.413,0","4.427,5","4.427,5","4.371,0","1,27M","0,25%"
"05/04/2019","4.402,0","4.391,5","4.420,0","4.368,0","1,22M","0,06%"
"04/04/2019","4.399,5","4.381,0","4.404,7","4.367,5","1,49M","0,34%"
"03/04/2019","4.384,5","4.385,5","4.387,5","4.322,5","2,48M","-0,19%"
"02/04/2019","4.393,0","4.374,5","4.431,0","4.374,0","2,09M","0,87%"
"01/04/2019","4.355,0","4.410,0","4.414,5","4.344,0","1,97M","-0,91%"
"29/03/2019","4.395,0","4.407,5","4.425,5","4.368,0","2,21M","-0,12%"
"28/03/2019","4.400,5","4.351,0","4.406,5","4.351,0","1,49M","1,22%"
"27/03/2019","4.347,5","4.368,5","4.369,1","4.315,5","1,54M","-0,07%"
"26/03/2019","4.350,5","4.345,5","4.376,5","4.317,0","1,62M","0,49%"
"25/03/2019","4.329,5","4.322,5","4.342,0","4.290,0","1,54M","0,00%"
"22/03/2019","4.329,5","4.370,0","4.383,5","4.316,5","1,89M","-1,59%"
"21/03/2019","4.399,5","4.320,0","4.408,5","4.320,0","2,33M","2,50%"
"20/03/2019","4.292,0","4.267,5","4.316,5","4.263,5","2,44M","0,81%"
"19/03/2019","4.257,5","4.259,0","4.282,0","4.252,5","1,87M","-0,20%"
"18/03/2019","4.266,0","4.275,0","4.284,0","4.252,0","1,89M","0,29%"
"15/03/2019","4.253,5","4.228,0","4.269,5","4.210,5","4,04M","1,44%"
"14/03/2019","4.193,0","4.140,0","4.211,5","4.120,5","2,20M","1,30%"
"13/03/2019","4.139,0","4.130,5","4.179,0","4.121,5","2,15M","0,01%"
"12/03/2019","4.138,5","4.090,0","4.147,0","4.021,5","2,66M","0,63%"
"11/03/2019","4.112,5","4.187,5","4.209,5","4.093,5","2,57M","-1,17%"
"08/03/2019","4.161,0","4.111,0","4.184,5","4.111,0","1,94M","0,97%"
"07/03/2019","4.121,0","4.045,5","4.122,9","4.038,5","1,97M","1,85%"
"06/03/2019","4.046,0","4.093,0","4.093,0","4.038,5","1,58M","-0,65%"
"05/03/2019","4.072,5","4.015,5","4.084,0","3.994,0","1,94M","1,83%"
"04/03/2019","3.999,5","3.982,5","4.020,0","3.968,5","1,77M","0,41%"
"01/03/2019","3.983,0","4.015,0","4.036,5","3.967,0","2,72M","-0,62%"
"28/02/2019","4.008,0","3.960,0","4.012,5","3.960,0","4,08M","0,50%"
"27/02/2019","3.988,0","4.066,5","4.070,0","3.944,0","3,80M","-3,13%"
"26/02/2019","4.117,0","4.129,5","4.143,5","4.071,5","2,08M","-0,95%"
"25/02/2019","4.156,5","4.210,0","4.221,5","4.139,5","2,29M","-0,80%"
"22/02/2019","4.190,0","4.237,5","4.248,0","4.175,5","2,83M","-1,54%"
"21/02/2019","4.255,5","4.237,5","4.279,5","4.227,5","1,69M","0,46%"
"20/02/2019","4.236,0","4.221,5","4.243,0","4.198,5","1,76M","0,64%"
"19/02/2019","4.209,0","4.266,0","4.266,0","4.197,0","1,59M","-1,13%"
"18/02/2019","4.257,0","4.236,0","4.269,0","4.217,5","1,13M","0,19%"
"15/02/2019","4.249,0","4.260,0","4.282,0","4.241,5","1,77M","-0,04%"
"14/02/2019","4.250,5","4.256,0","4.267,5","4.231,0","2,01M","-0,23%"
"13/02/2019","4.260,5","4.268,0","4.278,5","4.236,0","2,20M","0,09%"
"12/02/2019","4.256,5","4.216,5","4.256,5","4.206,0","2,92M","1,21%"
"11/02/2019","4.205,5","4.181,0","4.210,5","4.163,0","2,37M","0,69%"
"08/02/2019","4.176,5","4.178,5","4.206,5","4.153,5","1,44M","0,08%"
"07/02/2019","4.173,0","4.153,5","4.191,5","4.153,5","2,11M","0,07%"
"06/02/2019","4.170,0","4.200,0","4.219,0","4.165,5","1,61M","-1,31%"
"05/02/2019","4.225,5","4.098,5","4.227,0","4.087,5","2,97M","2,97%"
"04/02/2019","4.103,5","4.045,0","4.134,0","4.045,0","1,91M","0,95%"
"01/02/2019","4.065,0","3.998,0","4.079,5","3.998,0","2,39M","2,02%"
"31/01/2019","3.984,5","3.995,0","4.034,0","3.904,9","3,34M","-1,99%"
"30/01/2019","4.065,5","4.023,0","4.071,0","4.021,5","2,56M","0,96%"
"29/01/2019","4.027,0","3.957,5","4.031,0","3.947,5","2,42M","2,18%"
"28/01/2019","3.941,0","3.962,0","3.962,0","3.924,0","1,66M","-0,87%"
"25/01/2019","3.975,5","3.994,5","4.013,0","3.973,5","1,81M","-0,75%"
"24/01/2019","4.005,5","4.043,5","4.053,0","4.005,5","1,63M","-0,66%"
"23/01/2019","4.032,0","4.014,0","4.064,0","3.991,0","1,77M","0,26%"
"22/01/2019","4.021,5","4.046,5","4.070,5","4.009,5","2,23M","-0,81%"
"21/01/2019","4.054,5","4.053,5","4.082,5","4.037,5","1,37M","-0,09%"
"18/01/2019","4.058,0","4.021,0","4.071,0","3.996,5","2,06M","0,90%"
"17/01/2019","4.022,0","3.997,5","4.038,5","3.989,5","1,45M","0,58%"
"16/01/2019","3.999,0","4.069,5","4.073,0","3.984,5","2,32M","-1,95%"
"15/01/2019","4.078,5","4.036,5","4.091,1","4.029,5","1,65M","1,24%"
"14/01/2019","4.028,5","4.076,0","4.088,0","4.011,5","2,30M","-1,74%"
"11/01/2019","4.100,0","4.097,0","4.150,0","4.086,5","3,59M","0,20%"
"10/01/2019","4.092,0","4.057,0","4.093,5","4.054,0","1,63M","-0,10%"
"09/01/2019","4.096,0","4.105,0","4.118,5","4.070,5","2,06M","-0,09%"
"08/01/2019","4.099,5","4.068,5","4.113,0","4.053,5","1,91M","-0,13%"
"07/01/2019","4.105,0","4.141,5","4.145,5","4.072,5","1,56M","-1,13%"
"04/01/2019","4.152,0","4.151,0","4.164,0","4.098,5","1,74M","0,74%"
"03/01/2019","4.121,5","4.128,0","4.153,0","4.098,0","1,88M","-0,52%"
"02/01/2019","4.143,0","4.118,0","4.155,5","4.086,0","1,69M","0,84%"
