nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;10515;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;15076;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;1090;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;-;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;2228;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;-;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;8465;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;100000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;7242;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;12652;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;17888;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;1195;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;9042;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;2445;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;5686;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;9290;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;100000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;7207;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;11660;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;16942;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;1268;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;8342;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;2601;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;5907;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;9830;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;140000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2006;Tahun;7133;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2006;Tahun;11858;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2006;Tahun;17697;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2006;Tahun;1160;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2006;Tahun;7580;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2006;Tahun;2554;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2006;Tahun;5879;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2006;Tahun;9020;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2006;Tahun;165000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2006;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2007;Tahun;8229;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2007;Tahun;13760;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2007;Tahun;18804;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2007;Tahun;1208;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2007;Tahun;8307;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2007;Tahun;2828;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2007;Tahun;6502;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2007;Tahun;9419;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2007;Tahun;206667;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2007;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2008;Tahun;7556;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2008;Tahun;15432;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2008;Tahun;15803;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2008;Tahun;1413;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2008;Tahun;-;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2008;Tahun;3153;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2008;Tahun;7607;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2008;Tahun;10950;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2008;Tahun;250000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2008;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;8432;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;13510;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;15114;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;1212;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;102;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;2747;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;6699;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;9400;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;300000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2009;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;9143;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;11956;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;13894;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;1155;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;110;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;2916;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;6981;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;8991;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;360000;Emas<sup>1</sup>
