Date,Open,High,Low,Close,Adj Close,Volume
2019-07-10,9025.000000,9025.000000,8985.000000,9000.000000,8418.428711,7777500
2019-07-11,9000.000000,9000.000000,8860.000000,8960.000000,8381.014648,11532000
2019-07-12,9000.000000,9000.000000,8905.000000,8955.000000,8376.336914,6548500
2019-07-15,8980.000000,8990.000000,8890.000000,8890.000000,8315.537109,8622000
2019-07-16,8935.000000,8935.000000,8850.000000,8880.000000,8306.183594,7330000
2019-07-17,8880.000000,8980.000000,8880.000000,8980.000000,8399.721680,7233000
2019-07-18,8980.000000,9150.000000,8955.000000,9150.000000,8558.736328,10264000
2019-07-19,9160.000000,9160.000000,9100.000000,9160.000000,8568.089844,6700500
2019-07-22,9160.000000,9160.000000,9010.000000,9055.000000,8469.875000,4966500
2019-07-23,9140.000000,9160.000000,9100.000000,9110.000000,8521.321289,8086000
2019-07-24,9115.000000,9130.000000,9085.000000,9085.000000,8497.936523,7682000
2019-07-25,9085.000000,9105.000000,8990.000000,8990.000000,8409.076172,12683000
2019-07-26,9000.000000,9000.000000,8520.000000,8960.000000,8381.014648,20596500
2019-07-29,8960.000000,8965.000000,8620.000000,8640.000000,8081.692383,30262500
2019-07-30,8780.000000,8780.000000,8525.000000,8610.000000,8053.631348,25277500
2019-07-31,8600.000000,8735.000000,8535.000000,8720.000000,8156.522949,25767500
2019-08-01,8720.000000,9170.000000,8700.000000,9110.000000,8521.321289,42201500
2019-08-02,8950.000000,9105.000000,8825.000000,9000.000000,8418.428711,17366500
2019-08-05,8805.000000,8950.000000,8755.000000,8765.000000,8198.613281,11157500
2019-08-06,8760.000000,8950.000000,8640.000000,8865.000000,8292.153320,16009500
2019-08-07,8865.000000,9010.000000,8865.000000,8965.000000,8385.691406,11356000
2019-08-08,8995.000000,9010.000000,8895.000000,8930.000000,8352.953125,13177000
2019-08-09,8995.000000,9010.000000,8965.000000,8965.000000,8385.691406,8400000
2019-08-12,9000.000000,9000.000000,8880.000000,8995.000000,8413.751953,4298500
